date,position,Junior,link,company,source,source_title,region,ifremoute,summary,,,,,,,,,
12/12/2022,Product Analyst,0,,ООО Вита Смарт,2,hh,Russia,remote,no feedback,,,,,,,,,
12/12/2022,Analyst,0,,Скандинавия клиника,2,hh,Russia,remote,no feedback,,,,,,,,,
12/13/2022,Data Analyst,0,,Forecasting Research Institute,7,other,USA,remote,no feedback,,,,,,,,,
12/13/2022,Fraud Analyst,0,,Live Fraud Solutions,2,hh,Latvia,office,no feedback,,,,,,,,,
12/15/2022,Product Analyst,1,,ООО ZENIT TEHNOLOGII,2,hh,Kazahstan,remote,no feedback,,,,,,,,,
12/16/2022,Data Analyst,1,,Betting Connections,1,LinkedIn,Greece,office,no feedback,,,,,,,,,
12/16/2022,Data Analyst,1,,МТС,4,TG,Russia,no info,no feedback,,,,,,,,,
12/16/2022,Data Analyst,0,,Кант,7,other,Russia,no info,no feedback,,,,,,,,,
12/16/2022,Business Analyst,1,,Aston,4,TG,Russia,office,interview,,,,,,,,,
12/16/2022,Junior Web Analyst,1,,НН,4,TG,Russia,office,reject,,,,,,,,,
12/16/2022,Web Analyst,1,,Karpov.courses,4,TG,Russia,remote,no feedback,,,,,,,,,
12/19/2022,Data Analyst,1,,TISS,2,hh,Russia,remote,no feedback,,,,,,,,,
12/19/2022,Data Analyst,0,,АВИТО ТЕХ,2,hh,Russia,remote,reject,,,,,,,,,
12/20/2022,Game Analyst,0,,Gaming Recruitment Solutions,8,FB,Seychellas,office,reject,,,,,,,,,
12/20/2022,Data Analyst,0,,SHERPANY,1,LinkedIn,Romania,remote,reject,,,,,,,,,
12/21/2022,Game Analyst,0,,White Hat Gaming,1,LinkedIn,Malta,office,reject,,,,,,,,,
12/21/2022,Data Analyst,0,,Hoff,2,hh,Russia,remote,no feedback,,,,,,,,,
12/21/2022,Product Analyst,0,,WAZZUP,2,hh,Russia,remote,no feedback,,,,,,,,,
12/21/2022,Product Analyst,0,,Pushwoosh,2,hh,Georgia,office,reject,,,,,,,,,
12/23/2022,Data Analyst,1,,Betting Connections,1,LinkedIn,Poland,office,no feedback,,,,,,,,,
12/23/2022,Game Analyst,0,,BettingJobs.com,1,LinkedIn,Poland,remote,no feedback,,,,,,,,,
12/23/2022,Game Analyst,0,,ShangriLa,7,other,Georgia,office,no feedback,,,,,,,,,
12/24/2022,Game Analyst,0,,Casino Malta,7,other,Malta,office,interview,,,,,,,,,
12/24/2022,CCTV,0,,Dragonara Casino,7,other,Malta,office,no feedback,,,,,,,,,
12/25/2022,Game Analyst,0,,Harnham,1,LinkedIn,Hungary,remote,no feedback,,,,,,,,,
12/28/2022,Game Analyst,0,,Betclic Group,1,LinkedIn,Malta,office,interview,,,,,,,,,
12/28/2022,Fraud Analyst,0,,Live Score Group,1,LinkedIn,Malta,office,reject,нужна виза,,,,,,,,
12/28/2022,Risk Analyst,1,,RedRhino,1,LinkedIn,Malta,office,no feedback,,,,,,,,,
12/28/2022,Fraud Analyst,0,,YO Brands,1,LinkedIn,Malta,hybrid,no feedback,,,,,,,,,
12/28/2022,Game Analyst,0,,LeoVegas,1,LinkedIn,Malta,office,reject,,,,,,,,,
12/28/2022,Game Analyst,0,,Tipico,1,LinkedIn,Malta,office,reject,,,,,,,,,
12/28/2022,Data Analyst,0,,KONNEKTU,2,hh,Russia,remote,reject,,,,,,,,,
12/28/2022,Data Analyst,0,,KONNEKTU,2,hh,Russia,remote,reject,,,,,,,,,
12/28/2022,Data Analyst,0,,FURA,2,hh,Russia,remote,reject,,,,,,,,,
12/28/2022,CCTV,0,,PARQ Casino,7,other,Canada,office,no feedback,,,,,,,,,
12/28/2022,CCTV,0,,Grand Villa Casino,7,other,Canada,office,reject,,,,,,,,,
12/28/2022,CCTV,0,,Oracle casino,7,other,Malta,office,no feedback,,,,,,,,,
12/28/2022,BI Analyst,0,,Softswiss,2,hh,Georgia,remote,no feedback,,,,,,,,,
12/28/2022,Data Analyst,0,,ООО Голосовые Технологии,2,hh,Russia,remote,no feedback,,,,,,,,,
12/28/2022,Data Analyst,0,,Betting Connections,1,LinkedIn,Poland,no info,no feedback,,,,,,,,,
12/28/2022,Data Analyst,1,,ООО Медиапоинт,2,hh,Russia,remote,reject,,,,,,,,,
12/28/2022,Analyst,0,,ТехАудит,2,hh,Russia,remote,reject,,,,,,,,,
12/28/2022,Data Analyst,1,,ООО Go Ahead,2,hh,Russia,remote,reject,,,,,,,,,
1/1/2023,Game Analyst,0,,Portomaso Casino,7,other,Malta,office,no feedback,,,,,,,,,
1/4/2023,Analyst,0,,"МАГНИТ, Розничная сеть",2,hh,Russia,remote,reject,,,,,,,,,
1/5/2023,Data Analyst,1,,Gameloft,1,LinkedIn,Latvia,office,no feedback,,,,,,,,,
1/5/2023,Data Analyst,1,,CONTEXT,1,LinkedIn,Hungary,remote,no feedback,,,,,,,,,
1/6/2023,Data Analyst,1,,RocketData,4,TG,Armenia,remote,no feedback,,,,,,,,,
1/9/2023,Data Analyst,1,,Ryanair,1,LinkedIn,Finnland,office,reject,,,,,,,,,
1/10/2023,CCTV,0,,Cascade Casino,1,LinkedIn,Canada,hybrid,no feedback,,,,,,,,,
1/10/2023,SQL Delevoper,1,,Falcon Space,4,TG,Russia,remote,interview,,,,,,,,,
1/12/2023,Data Analyst,1,,х5,4,TG,Russia,remote,no feedback,,,,,,,,,
1/13/2023,Junior Data Analyst,1,,TutGood,2,hh,Russia,remote,reject,,,,,,,,,
1/27/2023,Data Analyst,1,,PharmaBills,1,LinkedIn,Georgia,remote,no feedback,,,,,,,,,
1/27/2023,Data Analyst,1,,Самокат,2,hh,Russia,remote,no feedback,,,,,,,,,
2/1/2023,Analyst,0,,Роза Хутор,2,hh,Russia,office,interview,,,,,,,,,
2/9/2023,CCTV,0,,Gaming Recruitment Solutions,8,FB,Malta,office,no feedback,,,,,,,,,
2/14/2023,other,1,,Odds96,9,Geekjobs,Russia,remote,no feedback,,,,,,,,,
2/15/2023,Data Analyst,0,,Tabby,1,LinkedIn,Georgia,remote,no feedback,,,,,,,,,
2/16/2023,Data Analyst,1,,Valiotti Analytics,2,hh,Russia,remote,reject,,,,,,,,,
3/6/2023,Analyst,0,,Чижик,2,hh,Russia,office,interview,,,,,,,,,
3/7/2023,Marketing Analyst,0,,Winline,2,hh,Russia,remote,no feedback,,,,,,,,,
3/9/2023,CCTV,0,,Gaming Recruitment Solutions,8,FB,Malta,office,no feedback,,,,,,,,,
3/14/2023,Product Analyst,0,,MY.GAMES,2,hh,Georgia,remote,reject,,,,,,,,,
3/14/2023,Data Analyst,0,,Lightspeed,2,hh,Georgia,hybrid,reject,,,,,,,,,
3/14/2023,BI Analyst,0,,Playrix,2,hh,Georgia,remote,no feedback,,,,,,,,,
3/14/2023,Data Analyst,1,,Net2Aspire,6,Glassdoor,USA,remote,no feedback,,,,,,,,,
3/14/2023,Analyst,0,,Emerging Travel,7,other,Russia,no info,no feedback,,,,,,,,,
3/20/2023,Data Analyst,1,,Nord Security,1,LinkedIn,Latvia,hybrid,no feedback,,,,,,,,,
3/20/2023,Data Analyst,1,,Repath,1,LinkedIn,Latvia,remote,no feedback,,,,,,,,,
3/20/2023,Data Analyst,0,,Car&Classic,1,LinkedIn,UK,remote,reject,,,,,,,,,
3/20/2023,Game Analyst,0,,Jagex,1,LinkedIn,UK,remote,no feedback,,,,,,,,,
3/20/2023,Data Analyst,1,,HelloFresh,1,LinkedIn,Australia,office,reject,,,,,,,,,
3/20/2023,Fraud Analyst,0,,Farfetch,1,LinkedIn,Latvia,hybrid,reject,,,,,,,,,
3/20/2023,other,0,,Роза Хутор,2,hh,Russia,office,no feedback,,,,,,,,,
3/21/2023,Data Analyst,0,,Garage Eight,2,hh,Georgia,hybrid,reject,,,,,,,,,
3/22/2023,Data Scientist,0,,TapNation,1,LinkedIn,France,remote,interview,,,,,,,,,
3/23/2023,Data Analyst,0,,Ventra,2,hh,Russia,remote,reject,,,,,,,,,
3/27/2023,Fraud Analyst,0,,Blueprint Gaming LTD,1,LinkedIn,UK,office,reject,,,,,,,,,
3/27/2023,Game Analyst,0,,Wingo Games,10,Netology,Russia,remote,reject,,,,,,,,,
3/27/2023,Data Analyst,1,,Exacaster,1,LinkedIn,Georgia,remote,no feedback,,,,,,,,,
3/27/2023,Data Analyst,0,,Nordcurrent,1,LinkedIn,Latvia,remote,no feedback,,,,,,,,,
3/27/2023,Fraud Analyst,0,,Novibet,1,LinkedIn,Greece,hybrid,no feedback,,,,,,,,,
3/27/2023,Data Analyst,0,,Revolute,1,LinkedIn,Spain,remote,reject,,,,,,,,,
3/27/2023,Data Analyst,0,,Work4u,1,LinkedIn,Latvia,remote,no feedback,,,,,,,,,
3/27/2023,Data Analyst,0,https://www.linkedin.com/jobs/view/3534572786,Betclic Group,1,LinkedIn,Malta,hybrid,interview,,,,,,,,,
3/27/2023,Analyst,0,,BettingJobs,1,LinkedIn,Malta,remote,no feedback,,,,,,,,,
3/27/2023,Analyst,0,,VideoSlots,1,LinkedIn,Malta,remote,reject,,,,,,,,,
3/27/2023,Data Analyst,0,,GIG,1,LinkedIn,Malta,office,no feedback,,,,,,,,,
3/27/2023,Risk Analyst,0,,Light & Wonder,1,LinkedIn,USA,remote,no feedback,,,,,,,,,
3/27/2023,Analyst,0,,Tipico,1,LinkedIn,Malta,remote,reject,,,,,,,,,
3/28/2023,Data Analyst,0,,Elly Analtics Inc.,2,hh,Georgia,remote,interview,,,,,,,,,
3/28/2023,Data Analyst,0,,Gameram,9,Geekjobs,Armenia,remote,no feedback,,,,,,,,,
3/28/2023,Data Analyst,1,,Реалвэб,9,Geekjobs,Russia,remote,interview,,,,,,,,,
3/28/2023,Data Analyst,0,,Самокат,2,hh,Russia,remote,no feedback,,,,,,,,,
3/28/2023,Data Analyst,0,,Билайн,2,hh,Russia,remote,interview,,,,,,,,,
3/28/2023,Data Analyst,0,,Платформа,9,Geekjobs,Russia,hybrid,no feedback,,,,,,,,,
3/29/2023,Data Analyst,0,,Baltic Assist,1,LinkedIn,Latvia,remote,no feedback,,,,,,,,,
3/31/2023,Game Analyst,0,,Gear Games,2,hh,Russia,remote,no feedback,,,,,,,,,
3/31/2023,Data Analyst,0,,Planner5d,1,LinkedIn,Latvia,remote,reject,,,,,,,,,
3/31/2023,SQL Delevoper,0,,Versatile Hiring Solutions,6,Glassdoor,Spain,remote,no feedback,,,,,,,,,
4/1/2023,Web Analyst,0,,Виэйинтелллидженс,4,TG,Kazahstan,remote,reject,,,,,,,,,
4/1/2023,Data Analyst,0,,Биорг,4,TG,Russia,office,reject,,,,,,,,,
4/1/2023,Product Analyst,0,,Skyeng,4,TG,Russia,remote,reject,,,,,,,,,
4/1/2023,Data Analyst,0,,Predicto,4,TG,Russia,remote,interview,,,,,,,,,
4/3/2023,Data Analyst,0,,Сбер,5,Superjob,Russia,office,no feedback,,,,,,,,,
4/3/2023,Data Analyst,1,,Росбак,2,hh,Russia,remote,no feedback,,,,,,,,,
4/3/2023,Data Analyst,1,,MTS,2,hh,Russia,hybrid,no feedback,,,,,,,,,
4/3/2023,Data Analyst,1,,Zartico,6,Glassdoor,USA,remote,no feedback,,,,,,,,,
4/3/2023,Data Analyst,0,,Projecting Success,6,Glassdoor,UK,remote,reject,,,,,,,,,
4/3/2023,Data Analyst,0,,Wakene Consultancy,6,Glassdoor,UK,remote,no feedback,,,,,,,,,
4/4/2023,Data Analyst,0,,Casino,4,TG,Belarus,remote,no feedback,,,,,,,,,
4/5/2023,BI Analyst,1,,Информатикс,10,Netology,Russia,remote,no feedback,,,,,,,,,
4/5/2023,Data Scientist,1,,AGORA,10,Netology,Russia,remote,reject,,,,,,,,,
4/5/2023,BI Analyst,1,,Data Sfera,10,Netology,Russia,remote,no feedback,,,,,,,,,
4/5/2023,Data Analyst,1,,Context World,6,Glassdoor,UK,remote,no feedback,,,,,,,,,
4/6/2023,Data Analyst,1,,Remote,1,LinkedIn,Lithuania,remote,reject,,,,,,,,,
4/6/2023,Analyst,0,,Контакт Перфомас,2,hh,Russia,remote,no feedback,,,,,,,,,
4/8/2023,Casino Analyst,0,,Entain,6,Glassdoor,UK,office,reject,,,,,,,,,
4/8/2023,Data Analyst,0,,Aristocrat,6,Glassdoor,Spain,office,reject,,,,,,,,,
4/10/2023,Analyst,0,,BC GAME,1,LinkedIn,South Korea,no info,no feedback,,,,,,,,,
4/10/2023,Data Analyst,0,,Onescreen,2,hh,Russia,remote,no feedback,,,,,,,,,
4/11/2023,Marketing Analyst,1,https://hh.ru/vacancy/78739950,Playkot,2,hh,Georgia,remote,no feedback,,,,,,,,,
4/11/2023,Data Analyst,0,https://hh.ru/vacancy/78505591,Hoff,2,hh,Russia,remote,reject,,,,,,,,,
4/11/2023,Data Analyst,0,https://www.linkedin.com/jobs/view/3557589476,EPAM,1,LinkedIn,Georgia,remote,no feedback,,,,,,,,,
4/11/2023,Data Analyst,0,"https://www.glassdoor.co.uk/job-listing/data-analyst-remote-cointracker-JV_KO0,19_KE20,31.htm?jl=1008231217834&pos=104&ao=1136043&s=350&guid=000001876fd1e3cb874d99ba96cf5233&src=GD_JOB_AD&t=REC_JOBS&vt=w&uido=24D9749863570846BB5D2BC87B7298FB&ea=1&cs=1_82feb56d&cb=1681208350199&jobListingId=1008231217834&jrtk=3-3-1gtnt3ovdh4fa801-1gtnt3p0ii9jf801-7bac6c4423030f9f-&cancel=true&smart-apply-action=POST_APPLY&ctt=1681209151905",CoinTracker,6,Glassdoor,USA,remote,reject,,,,,,,,,
4/11/2023,Data Analyst,0,"https://www.glassdoor.co.uk/job-listing/data-analyst-remote-cointracker-JV_KO0,19_KE20,31.htm?jl=1008231217834&pos=104&ao=1136043&s=350&guid=000001876fd1e3cb874d99ba96cf5233&src=GD_JOB_AD&t=REC_JOBS&vt=w&uido=24D9749863570846BB5D2BC87B7298FB&ea=1&cs=1_82feb56d&cb=1681208350199&jobListingId=1008231217834&jrtk=3-3-1gtnt3ovdh4fa801-1gtnt3p0ii9jf801-7bac6c4423030f9f-&cancel=true&smart-apply-action=POST_APPLY&ctt=1681209151905",Amach Software,1,LinkedIn,Ireland,remote,no feedback,,,,,,,,,
4/11/2023,BI Analyst,0,https://hh.ru/vacancy/78726950,Social Media Holding,2,hh,Russia,remote,reject,,,,,,,,,
4/13/2023,Analyst,1,,Glowbite,7,other,Russia,remote,interview,,,,,,,,,
4/14/2023,Data Analyst,0,https://www.linkedin.com/jobs/view/3559387485,Ancient Gaming,1,LinkedIn,Malta,remote,no feedback,,,,,,,,,
4/14/2023,Data Analyst,0,https://www.linkedin.com/jobs/view/3565845488,Kindred,1,LinkedIn,Malta,hybrid,reject,,,,,,,,,
4/15/2023,Analyst,0,https://hh.ru/vacancy/78879281,Красная Поляна,2,hh,Russia,hybrid,no feedback,,,,,,,,,
4/16/2023,Analyst,1,https://jobs.lever.co/stackadapt/42aeeb97-9dcb-4c8a-af24-d78fb08f2195,StackAdapt,4,TG,Canada,remote,no feedback,,,,,,,,,
4/16/2023,Analyst,1,https://hh.ru/vacancy/78620401,Ламода,2,hh,Russia,remote,no feedback,,,,,,,,,
4/16/2023,Data Analyst,0,https://hh.ru/vacancy/78052511,ЗооОптТорг,2,hh,Russia,office,no feedback,,,,,,,,,
4/17/2023,Data Scientist,1,https://www.linkedin.com/jobs/view/3560041243,GIG,1,LinkedIn,Malta,office,no feedback,,,,,,,,,
4/17/2023,BI Analyst,0,https://www.linkedin.com/jobs/view/3566618205,Betting Connections,1,LinkedIn,Malta,office,no feedback,,,,,,,,,
4/17/2023,Data Analyst,0,https://www.linkedin.com/jobs/view/3539136706,Poker Stars,1,LinkedIn,UK,hybrid,no feedback,,,,,,,,,
4/17/2023,Product Analyst,0,,Tinkoff,4,TG,Russia,remote,no feedback,,,,,,,,,
4/17/2023,Data Analyst,0,https://www.linkedin.com/jobs/view/3513711339,Betsson,1,LinkedIn,Malta,office,reject,,,,,,,,,
4/17/2023,other,0,https://www.linkedin.com/jobs/view/3545972420,Pragmatic Play,1,LinkedIn,Bulgaria,office,no feedback,,,,,,,,,
4/19/2023,BI Analyst,1,https://www.linkedin.com/jobs/view/3572328120,Betting Jobs,1,LinkedIn,Malta,hybrid,reject,,,,,,,,,
4/19/2023,Data Analyst,1,https://www.linkedin.com/jobs/view/3568411687,Bolt,1,LinkedIn,Georgia,office,reject,,,,,,,,,
4/24/2023,Product Analyst,0,https://spb.hh.ru/vacancy/79654210,Like Centre,2,hh,Russia,remote,no feedback,,,,,,,,,
4/24/2023,Data Scientist,1,Задача для Data Scientist в проект Решатель (удалённо) (potok.io),Проект Решатель,10,Netology,Russia,remote,interview,,,,,,,,,
4/24/2023,Data Analyst,0,https://hh.ru/vacancy/79500682,Лента,2,hh,Russia,remote,no feedback,,,,,,,,,
4/24/2023,BI Analyst,0,https://hh.ru/vacancy/79415458,Диван,2,hh,Russia,remote,reject,,,,,,,,,
4/24/2023,Data Analyst,0,https://jobs.lever.co/AmbassadorLabs/8e144983-eaf4-4181-9915-77dedd4e082e,Ambassador Labs,6,Glassdoor,USA,remote,reject,,,,,,,,,
4/25/2023,Data Analyst,1,https://gkjb.ru/hacW,ESN,9,Geekjobs,Russia,remote,no feedback,,,,,,,,,
4/25/2023,Data Analyst,0,https://gkjb.ru/haaO,Mytona,9,Geekjobs,Georgia,remote,no feedback,,,,,,,,,
4/25/2023,SQL Delevoper,0,"Вакансия «Разработчик отчетности», удаленно, работа в компании «Hoff Tech» — Хабр Карьера (habr.com)",Hoff Tech,3,habrcareer,Russia,remote,reject,,,,,,,,,
4/25/2023,BI Analyst,0,"Вакансия «BI Analyst (Visiology)», удаленно, работа в компании «Газпром ID» — Хабр Карьера (habr.com)",Gazprom,3,habrcareer,Russia,remote,no feedback,,,,,,,,,
4/25/2023,Data Analyst,0,"Вакансия «Аналитик данных (Tableau)» в городах Москва и Санкт-Петербург, работа в компании «Sportmaster Lab» — Хабр Карьера (habr.com)",Sportmaster Lab,3,habrcareer,Russia,remote,no feedback,,,,,,,,,
4/25/2023,Data Analyst,0,,Nordic Jobs Worldwide,1,LinkedIn,Malta,remote,no feedback,,,,,,,,,
4/25/2023,Data Analyst,0,https://www.linkedin.com/posts/d-kazakov_%D0%B2%D1%81%D0%B5%D0%BC-%D0%BF%D1%80%D0%B8%D0%B2%D0%B5%D1%82-%D0%B8%D1%89%D0%B5%D0%BC-%D1%81%D0%B5%D0%B1%D0%B5-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-%D1%82%D1%80%D0%BE%D0%B8%D1%85-data-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%BE%D0%B2-activity-7055861583381458944-0UU_/?utm_source=share&utm_medium=member_desktop,Kolesa Group,4,TG,Russia,remote,reject,,,,,,,,,
4/26/2023,CCTV,0,https://www.casinocareers.com/jobs/3543976-surveillance-operator,RW Casino NY,7,other,USA,office,no feedback,,,,,,,,,
4/26/2023,Data Analyst,0,https://finder.vc/vacancies/21656,Е2Е4,7,other,Russia,remote,no feedback,,,,,,,,,
4/26/2023,CCTV,0,,сеть ресторанов,4,TG,Russia,remote,no feedback,,,,,,,,,
4/26/2023,Analyst,0,https://hh.ru/vacancy/78814729,mosinfocity,4,TG,Russia,remote,no feedback,,,,,,,,,
4/26/2023,Data Analyst,0,m.fedotova@friflex.com,Фрифлекс,4,TG,Russia,remote,no feedback,,,,,,,,,
4/26/2023,Data Analyst,0,https://hrnetwork.club/uploads/presentations/presentation-1677520035708.pdf,true partners,1,LinkedIn,Ukraine,remote,reject,,,,,,,,,
4/27/2023,other,0,https://www.gipsyteam.ru/jobs,Gipsy Team,7,other,Russia,remote,,,,,,,,,,
4/28/2023,Data Analyst,1,https://careers.shipfix.com/o/junior-data-analyst-tbilisi,Shipfix,1,LinkedIn,Georgia,remote,,,,,,,,,,
4/28/2023,Analyst,0,https://hh.ru/vacancy/79914765,Mediapoint,2,hh,Russia,remote,,,,,,,,,,
5/2/2023,Analyst,0,,,4,TG,Russia,remote,,,,,,,,,,
5/2/2023,BI Analyst,1,https://hh.ru/vacancy/79519316,Делимобиль,2,hh,Russia,remote,,,,,,,,,,
5/2/2023,Analyst,0,https://hh.ru/vacancy/79454053,ScaleLab,2,hh,Georgia,remote,,,,,,,,,,
5/2/2023,Data Analyst,0,https://strivegaming.bamboohr.com/jobs/view.php?id=69,Strive Gaming,1,LinkedIn,Malta,hybrid,,,,,,,,,,
5/2/2023,other,0,,Patio Art,4,TG,Georgia,office,interview,,,,,,,,,
